id;name;standard
1002;Tjidske;died
1003;Geerda;geerhard
1004;Nicolas;nicolaas
1005;Sierts;
1006;Roske;roos
1007;Adrien;adriaan
1008;Emerentiana;emerentia
1009;Woutera;woudheer
1010;Egbert;egbert
1011;Theunis;antonius
1012;Ariën;adriaan
1013;Gertruda;geertruida
1014;Laurent;laurens
1015;Laurentia;laurens
1016;Jantje;johannes
1017;Nannette;nan
1018;Leijn;lijn
1019;Krina;quirinus
1020;Vincent;vincent
1021;Zijtje;zege
1022;Geertruda;geertruida
1023;Fenni;ferdinand
1024;Corijn;cornelis
1025;Josephina;jozef
1026;Marytje;maria
1027;Annechien;anne
1028;Pieterneltje;petrus
1029;Magteltje;machthilde
1030;Hubrecht;hugbert
1031;Fanneke;ferdinand
1032;Egges;
1033;Leenderd;leonhard
1034;Marja;maria
1035;Tom;
1036;Mees;bartholomeus
1037;Servaas;servatius
1038;Machtildis;machthilde
1039;Agnieta;agnes
1040;Philibertus;filippus
1041;Aagie;agatha
1042;Toontje;antonius
1043;Joosje;jozef
1044;Gosina;gosinus
1045;Reindert;reinhard
1046;Marina;marinus
1047;Ruurd;raadward
1048;Liza;elisabeth
1049;Elizabet;elisabeth
1050;Rutgerus;rodgeer
1051;Massie;martinus
1052;Allegonda;adelgonda
1053;Marij;maria
1054;Volperd;
1055;Nicloaas;nicolaas
1056;Isaak;izaak
1057;Gerridina;geerhard
1058;Dorus;theodorus
1059;Dedde;died
1060;Louwrensje;laurens
1061;Zoetje;zoet
1062;Minne;mein
1063;Hijke;hilde
1064;Femmigje;friedmar
1065;Janse;johannes
1066;Carlo;karel
1067;Bedje;elisabeth
1068;Meeuwis;bartholomeus
1069;Aarnout;arnoud
1070;Susan;susanna
1071;Zuzanna;susanna
1072;Siebe;zegeb-
1073;Gezina;gesinus
1074;Kniera;koenera
1075;Wubbigje;woudb-
1076;Japik;jacob
1077;Huijbert;hugbert
1078;Annemie;annemarie
1079;Herm;heerman
1080;Antony;antonius
1081;Hesje;hase
1082;Coosje;jacob
1083;Cientje;cent
1084;Maud;
1085;Sabina;sabinus
1086;Josias;josias
1087;Gertruida;geertruida
1088;Febe;friedb-
1089;Brune;brun
1090;Johanina;johannes
1091;Elisabeths;elisabeth
1092;Antoinetta;antonius
1093;Nelia;nel
1094;Dammis;damasus
1095;Jeanetta;johannes
1096;Wybrand;wijgbrand
1097;Ferdinant;ferdinand
1098;Gerhart;geerhard
1099;Gertrudes;geertruida
1100;Prof.;
1101;W.;
1102;Agnita;agnes
1103;Aldegondis;adelgonda
1104;Marlena;magdalena
1105;Mientje;mina
1106;Aafke;ave
1107;Aleides;adelheid
1108;Digna;dignus
1109;Marrigjen;maria
1110;Geerhard;geerhard
